Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
12/30/2023 18:13:01,SET,lanche,COMIDA,50,NÃO,DÉBITO,
12/30/2023 18:13:30,SET,sorvete,COMIDA,15,NÃO,PIX,
12/30/2023 18:13:43,SET,,,2,NÃO,DINHEIRO,
12/30/2023 18:14:15,SET,passagens,TRANSPORTE,50,SIM,DINHEIRO,
12/30/2023 18:14:41,SET,sorvete,COMIDA,10,NÃO,DÉBITO,
12/30/2023 18:16:01,SET,shein,,150,NÃO,PIX,
1/1/2024 11:17:04,OUT,spotify,BEM ESTAR,12,FOI PARA MEU BEM ESTAR,PIX,
1/1/2024 11:17:34,OUT,uber,TRANSPORTE,20,NÃO,PIX,
1/1/2024 11:17:53,OUT,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
1/1/2024 11:19:29,OUT,lanche,COMIDA,6,NÃO,PIX,
1/1/2024 11:19:54,OUT,lanche,COMIDA,9,SIM,DÉBITO,555
1/1/2024 11:20:19,OUT,lanche,COMIDA,17,NÃO,DÉBITO,
1/1/2024 11:20:40,OUT,uber,TRANSPORTE,17,NÃO,PIX,
1/1/2024 11:21:04,OUT,lanche,COMIDA,5,NÃO,PIX,50
1/1/2024 11:21:31,OUT,presente,,100,NÃO,DÉBITO,
1/1/2024 11:21:58,OUT,pastéis,COMIDA,30,NÃO,PIX,
1/1/2024 11:22:24,OUT,uber,TRANSPORTE,20,NÃO,PIX,700
1/1/2024 11:23:07,OUT,jantar,COMIDA,149,NÃO,DÉBITO,20
1/1/2024 11:23:34,OUT,cervejas,COMIDA,25,NÃO,DÉBITO,
1/1/2024 11:24:11,OUT,uber,TRANSPORTE,55,NÃO,PIX,30
1/1/2024 11:24:41,OUT,,COMIDA,34,NÃO,DÉBITO,10
1/1/2024 11:25:09,OUT,créditos,NECESSÁRIO,40,SIM,PIX,
1/1/2024 11:25:37,OUT,xerox,FACULDADE,6.3,SIM,PIX,
1/1/2024 11:26:14,OUT,presente,,20,NÃO,DÉBITO,25
1/1/2024 11:26:43,OUT,v,NECESSÁRIO,60,SIM,PIX,4
